Country,cause,val
Saint Kitts and Nevis,Respiratory infections and tuberculosis,20.82741347
Saint Kitts and Nevis,Enteric infections,2.562459514
Saint Kitts and Nevis,Other infectious diseases,2.015407486
Saint Kitts and Nevis,Maternal and neonatal disorders,6.875699806
Saint Kitts and Nevis,Substance use disorders,11.2338139
Saint Kitts and Nevis,Diabetes and kidney diseases,64.35615385
San Marino,Nutritional deficiencies,0.275901717
Ukraine,HIV/AIDS and sexually transmitted infections,6691.709189
Ukraine,Respiratory infections and tuberculosis,12808.65989
Ukraine,Enteric infections,105.1382798
Finland,Self-harm and interpersonal violence,956.2369448
Philippines,Mental disorders,2.951514089
Philippines,Digestive diseases,27944.70936
El Salvador,Neurological disorders,2109.633597
Zambia,Cardiovascular diseases,18157.01163
Zambia,Musculoskeletal disorders,93.23111793
Uganda,Mental disorders,0.369603033
Uganda,Self-harm and interpersonal violence,4625.556439
Ghana,Neglected tropical diseases and malaria,22509.75878
Ghana,Cardiovascular diseases,39649.50559
Czechia,HIV/AIDS and sexually transmitted infections,23.55884353
Zambia,Neoplasms,9789.448939
Zambia,Mental disorders,0.301541745
Iran (Islamic Republic of),Transport injuries,22425.4327
Iran (Islamic Republic of),Substance use disorders,3168.455573
Iran (Islamic Republic of),Diabetes and kidney diseases,27503.70743
Ghana,Neurological disorders,3206.477121
Ghana,Mental disorders,0.53743891
Dominican Republic,Mental disorders,0.029950489
El Salvador,Cardiovascular diseases,9695.097056
El Salvador,Neglected tropical diseases and malaria,35.7711519
France,Cardiovascular diseases,166495.9818
San Marino,Other non-communicable diseases,3.135145947
France,Neglected tropical diseases and malaria,12.33772572
United Kingdom,Unintentional injuries,12271.58195
Dominican Republic,Other non-communicable diseases,1599.851989
Dominican Republic,HIV/AIDS and sexually transmitted infections,1576.232456
Dominican Republic,Respiratory infections and tuberculosis,2762.062711
Dominican Republic,Enteric infections,565.4366537
Burundi,Neglected tropical diseases and malaria,7781.684583
Armenia,Chronic respiratory diseases,1323.02375
Armenia,Digestive diseases,1720.336216
Zambia,Digestive diseases,6528.257136
Zambia,Neurological disorders,1420.66217
United Kingdom,Musculoskeletal disorders,3426.67176
United Kingdom,Other non-communicable diseases,12866.65643
San Marino,Musculoskeletal disorders,0.482563286
San Marino,HIV/AIDS and sexually transmitted infections,0.691035513
San Marino,Respiratory infections and tuberculosis,8.104081706
North Macedonia,Nutritional deficiencies,1.059775872
Iraq,Chronic respiratory diseases,3292.302351
Philippines,Cardiovascular diseases,204311.3882
Philippines,Chronic respiratory diseases,33228.90956
Philippines,Other non-communicable diseases,17014.31729
Saint Kitts and Nevis,Neurological disorders,15.15289205
Saint Kitts and Nevis,Mental disorders,0.000611575
Philippines,Self-harm and interpersonal violence,20981.96789
Costa Rica,Diabetes and kidney diseases,1947.941649
Hungary,Chronic respiratory diseases,5935.529727
San Marino,Neoplasms,117.0487092
Ghana,Self-harm and interpersonal violence,2868.867929
Iraq,Nutritional deficiencies,104.210854
Iraq,Digestive diseases,3656.002161
Hungary,Cardiovascular diseases,61818.02842
Philippines,Unintentional injuries,15462.84357
Hungary,Nutritional deficiencies,33.5989114
Burundi,Nutritional deficiencies,2048.236889
El Salvador,Self-harm and interpersonal violence,3579.104573
San Marino,Skin and subcutaneous diseases,0.205571425
San Marino,Transport injuries,2.984329588
San Marino,Substance use disorders,0.256552354
San Marino,Diabetes and kidney diseases,9.114616611
Zambia,Other non-communicable diseases,3770.147273
Zambia,HIV/AIDS and sexually transmitted infections,23916.51724
Zambia,Respiratory infections and tuberculosis,15302.62639
Zambia,Enteric infections,7630.634559
France,Chronic respiratory diseases,22060.48034
United Kingdom,Self-harm and interpersonal violence,5966.96587
San Marino,Enteric infections,0.216852604
San Marino,Other infectious diseases,1.469565785
San Marino,Maternal and neonatal disorders,0.51439265
Tokelau,Nutritional deficiencies,0.043127927
Iraq,Neoplasms,24412.70658
North Macedonia,Digestive diseases,593.4625636
El Salvador,Musculoskeletal disorders,89.25903845
El Salvador,Other non-communicable diseases,765.5153208
Armenia,Musculoskeletal disorders,16.55384197
El Salvador,Chronic respiratory diseases,1513.765606
Grenada,Cardiovascular diseases,263.238096
Dominica,Self-harm and interpersonal violence,11.53412016
Guinea,Neglected tropical diseases and malaria,12940.04772
France,HIV/AIDS and sexually transmitted infections,489.3911352
France,Respiratory infections and tuberculosis,24179.46153
France,Enteric infections,1632.478265
Armenia,Unintentional injuries,442.1597911
Ghana,Musculoskeletal disorders,131.9203651
Ghana,Other non-communicable diseases,6694.768235
Hungary,Digestive diseases,6413.390826
Dominican Republic,Other infectious diseases,643.4731621
Dominican Republic,Maternal and neonatal disorders,3538.030863
Dominican Republic,Substance use disorders,204.7389037
Dominican Republic,Diabetes and kidney diseases,5245.200458
France,Musculoskeletal disorders,3216.521811
France,Other non-communicable diseases,10615.5781
France,Skin and subcutaneous diseases,2547.39433
Zambia,Self-harm and interpersonal violence,3019.899523
United Kingdom,HIV/AIDS and sexually transmitted infections,333.4152697
United Kingdom,Respiratory infections and tuberculosis,42297.76038
United Kingdom,Enteric infections,1434.794526
United Kingdom,Other infectious diseases,1134.730075
United Kingdom,Maternal and neonatal disorders,1523.858747
Iraq,Transport injuries,5930.001593
France,Digestive diseases,29763.18756
France,Transport injuries,4693.23351
France,Neurological disorders,60435.8165
France,Mental disorders,15.53747486
Ghana,Chronic respiratory diseases,5938.018657
Ghana,Transport injuries,6248.134028
Sri Lanka,Neglected tropical diseases and malaria,375.0657913
Tokelau,Neoplasms,1.602060877
El Salvador,Neoplasms,5905.309439
Sudan,Neoplasms,17100.08718
Hungary,Musculoskeletal disorders,239.6910693
Hungary,Other non-communicable diseases,1085.23553
Burundi,Cardiovascular diseases,10803.53431
San Marino,Neurological disorders,22.84012364
San Marino,Mental disorders,0.00013547
Burundi,Neoplasms,5274.955478
Burundi,Neurological disorders,856.0590953
Burundi,Mental disorders,0.08467742
North Macedonia,Unintentional injuries,288.7131506
Guatemala,Neglected tropical diseases and malaria,90.34452223
Guatemala,Cardiovascular diseases,15881.63264
Iraq,Cardiovascular diseases,79952.48095
Iraq,Musculoskeletal disorders,184.0516635
Zambia,Other infectious diseases,3407.676558
Zambia,Maternal and neonatal disorders,10654.89171
Zambia,Substance use disorders,196.9909003
Zambia,Diabetes and kidney diseases,4513.94504
Guinea,Chronic respiratory diseases,2787.320365
Hungary,Skin and subcutaneous diseases,118.4817476
Hungary,Transport injuries,899.3659937
Philippines,Skin and subcutaneous diseases,2342.324059
Philippines,Transport injuries,12016.77616
Zambia,Neglected tropical diseases and malaria,5061.353616
Dominican Republic,Neglected tropical diseases and malaria,52.82944705
Grenada,Neglected tropical diseases and malaria,0.313207718
Tokelau,Neurological disorders,0.392572825
Tokelau,Mental disorders,6.09E-06
Iraq,Neurological disorders,4654.450036
Iraq,Mental disorders,0.160603757
France,Unintentional injuries,29858.03999
El Salvador,Skin and subcutaneous diseases,109.4760622
El Salvador,HIV/AIDS and sexually transmitted infections,690.2905666
El Salvador,Respiratory infections and tuberculosis,2394.989862
El Salvador,Enteric infections,309.9656891
El Salvador,Other infectious diseases,151.9389883
El Salvador,Maternal and neonatal disorders,526.985654
El Salvador,Substance use disorders,885.9414013
Philippines,Musculoskeletal disorders,841.3197311
Brunei Darussalam,Cardiovascular diseases,507.8306639
United Kingdom,Mental disorders,11.85679192
Armenia,HIV/AIDS and sexually transmitted infections,22.11704445
Armenia,Respiratory infections and tuberculosis,619.7487027
Armenia,Enteric infections,14.22219785
Armenia,Other infectious diseases,26.35952258
Armenia,Maternal and neonatal disorders,163.7300995
Grenada,Chronic respiratory diseases,19.04993355
Grenada,Skin and subcutaneous diseases,10.70566094
Ghana,HIV/AIDS and sexually transmitted infections,15397.05131
El Salvador,Transport injuries,1447.774129
El Salvador,Unintentional injuries,923.009143
Burundi,Digestive diseases,3542.830624
Armenia,Nutritional deficiencies,3.855069249
Hungary,Neurological disorders,6183.779233
Ghana,Unintentional injuries,5069.452472
Germany,Nutritional deficiencies,781.7519346
Grenada,Neoplasms,187.5414222
Iraq,Unintentional injuries,10195.25045
Guinea,Skin and subcutaneous diseases,132.755991
Guinea,Transport injuries,2407.386382
San Marino,Neglected tropical diseases and malaria,0.346444238
El Salvador,Mental disorders,0.08240183
Sri Lanka,Chronic respiratory diseases,13596.92952
San Marino,Self-harm and interpersonal violence,4.426531028
Sudan,Mental disorders,0.089820346
Dominican Republic,Chronic respiratory diseases,1936.601797
Tokelau,Self-harm and interpersonal violence,0.191912365
Burundi,Chronic respiratory diseases,2399.211093
Burundi,Other non-communicable diseases,2911.633696
Burundi,Skin and subcutaneous diseases,82.91530734
Burundi,Transport injuries,2034.537004
Burundi,Self-harm and interpersonal violence,1022.999516
Guinea,Nutritional deficiencies,1741.025667
Hungary,HIV/AIDS and sexually transmitted infections,50.02238187
Hungary,Respiratory infections and tuberculosis,1285.028264
Hungary,Enteric infections,270.616181
Hungary,Other infectious diseases,111.5479725
Hungary,Maternal and neonatal disorders,145.0584126
Hungary,Substance use disorders,603.625472
Hungary,Diabetes and kidney diseases,4325.490607
Guatemala,Chronic respiratory diseases,2529.11819
Zambia,Chronic respiratory diseases,2388.063105
Grenada,Nutritional deficiencies,2.399360179
Ghana,Skin and subcutaneous diseases,295.1555491
Ghana,Respiratory infections and tuberculosis,26544.13316
Ghana,Enteric infections,8438.046569
Ghana,Other infectious diseases,5806.514228
Ghana,Maternal and neonatal disorders,17531.59743
Ghana,Substance use disorders,288.2063118
Ghana,Diabetes and kidney diseases,10852.52405
Philippines,HIV/AIDS and sexually transmitted infections,6406.934995
Philippines,Respiratory infections and tuberculosis,87636.98235
Philippines,Enteric infections,11118.39773
Philippines,Other infectious diseases,9567.126506
Philippines,Maternal and neonatal disorders,25532.37436
Sri Lanka,Nutritional deficiencies,163.0409494
American Samoa,Neglected tropical diseases and malaria,0.352228487
American Samoa,Cardiovascular diseases,124.8149391
Philippines,Substance use disorders,1429.854682
Philippines,Diabetes and kidney diseases,61266.8034
France,Other infectious diseases,1375.13823
France,Maternal and neonatal disorders,1188.05712
France,Substance use disorders,5587.113641
France,Diabetes and kidney diseases,25507.05343
France,Self-harm and interpersonal violence,11558.38326
Guinea,Unintentional injuries,3325.264482
Grenada,Transport injuries,11.52679913
Grenada,Substance use disorders,4.981866791
Grenada,Diabetes and kidney diseases,124.719127
Azerbaijan,Nutritional deficiencies,28.60591189
